id,중앙관서,회계연도,사업연도,사업명,기관명,대표자명,전화번호,소재지,총사업비,국고보조금,지자체부담금,자기부담금,교부신청액,국고보조금,지자체부담금,신청교부,직권교부,사업목적,사업내용,사업기간,사업장소,대상자수,보조금 이외의 경비부담내용,수익금액의 처리방법,신청자의 자산/부채,기대효과,성과목표,고려사항
1,고용노동부,2023,2023,2023년 제2차 사회적경제기업 사업개발비 지원사,주식회사 처음한과,한수진,,광주광역시 광산구 첨단내촌로70번길,"22,900,000","11,200,000","4,800,000","6,900,000","교부신청액: 16,000,000","11,200,000","4,800,000","16,000,000",0,공격적인 온라인 홍보 마케팅을 통한 자사 브랜드 노출과 직접적인 매출 증대,"공격적인 온라인 홍보 마케팅을 통한 자사 브랜드 노출과 직접적인 매출 증대

네이버 홍보?마케팅
키워드 검색 광고
- 온라인 상위노출 컨설팅
(제품명, 상세페이지 등 컨설팅)
- 네이버 쇼핑 키워드 관리

구글홍보?마케팅
구글 GDN
- 폭넓은 타겟층에 도달
- 명절 타겟팅

인스타그램 홍보?마케팅
인기 게시물 관리
- 주요 해시태그 관리 및 모니터링
- 인기 게시물 계정 육성

당근광고
-지역 대상 광고",2023.08.09. ~ 2023.12.31.,전국,,자비 부담,시설확충 및 복리후생,자산 및 부채없,"○ 경제적 기대효과 - 매출 증가 및 고용 창출

○ 사회적 기대효과

- 취약계층 및 여성 일자리(10시~16시 근무) 창출
- 지역내 생산, 유통되는 농산물로 한과 제조하여 지역 농가 및 지역 도소매업자 소득 증대
- 수제 한과 현물 기부 사회서비스 제공
- 홍보에 열악한 소기업에 자체 SNS에 홍보 서비스 제공
- 건강한 먹거리 보급
- 희소성과 특별함을 가지고 있는 수제한과 선물세트로 소비자의 가심비를 높임",,
2,고용노동부,2023,2023,사회적경제기업 사업개발비,주식회사 안전,김상덕,7080189078,서울특별시 강동구 강동대로55길,"20,400,000","10,500,000","4,500,000","5,400,000","교부신청액: 15,000,000","10,500,000","4,500,000","15,000,000",0,중소기업을 위한 재난안전보건경영시스템 시스템 구축,"1.중소기업 사업연속성확보계획 서비스(입문)
2.중소기업 사업연속성확보계획 서비스(기본)
3.중소기업 중대재해처벌법 대응 서비스",2023.05.01. ~ 2023.12.31.,전국,,시스템 구축에 필요한 대금중 보조금에서 부족한 부분은 자기부담,수익금액 없음,부채없음,중소기업 및 소상공인의 재난안전보건경영시스템 구축 지원,,
3,고용노동부,2023,2023,전략분야,(재)전북바이오융합산업진흥원,이은미,632106510,전북특별자치도 전주시 덕진구 원장동길,"303,818,100","303,818,100",0,0,"교부신청액: 303,818,100","303,818,100",0,"303,818,100",0,"- 바이오융합산업 전문인력 양성을 위한 전문 교육시스템 구축으로 체계적이고 지속적인 우수 인적자원 육성 생태계 구축
- 바이오산업 관련 기술의 변화와 4차 산업화 등 산업의 변화에 대응을 위한 산업인력 역량강화 및 교육프로그램 고도화를 통해 국내 바이오융합산업분야 기술 발전과 기업 경쟁력 강화
- 바이오, 식품, 에너지, 의료 등 다양한 분야와 융합할 수 있는 바이오융합 산업의 경쟁력 확보에 따른 전후방산업과 동반 성장 추진",2022년도 사업목표 : 193개 협약기업 대상 516명 훈련,2023.01.01. ~ 2023.12.31.,해당사항없음,,해당없음,해당없음,해당없음,바이오융합산업 혁신성장을 위한 핵심인재 양성 가능,,
4,고용노동부,2023,2023,기업대학,우진플라임,김익환,435409112,충청북도 보은군 장안면 우진플라임로,"133,381,000","99,401,000",0,"33,980,000","교부신청액: 99,401,000","99,401,000",0,"99,401,000",0,#NAME?,#NAME?,2023.01.01. ~ 2023.12.31.,해당사항없음,"협약기업 710개소 재직근로자 43,585명","- 정부지원금(인건비, 훈련시설/장비비)에 대한 자비 부담 30%",#NAME?,"- 2022.11.11 기준 자산 301,374,447,420원 / 부채 200,743,735,871원",#NAME?,"- 사업투입 : 협약기업 관리 및 전담인력 역할 체계 구축
- 사업운영 : 수요조사를 통한 과정 설계 반영
- 사업결과 : 훈련실적 (연인원 20명) 달성 및 만족도 점수 향상",
5,고용노동부,2023,2023,사회적경제기업 사업개발비,주식회사 안전,김상덕,7080189078,서울특별시 강동구 강동대로55길,"20,400,000","10,500,000","4,500,000","5,400,000","교부신청액: 15,000,000","10,500,000","4,500,000","15,000,000",0,중소기업을 위한 재난안전보건경영시스템 시스템 구축,"1.중소기업 사업연속성확보계획 서비스(입문)
2.중소기업 사업연속성확보계획 서비스(기본)
3.중소기업 중대재해처벌법 대응 서비스",2023.05.01. ~ 2023.12.31.,전국,,시스템 구축에 필요한 대금중 보조금에서 부족한 부분은 자기부담,수익금액 없음,부채없음,중소기업 및 소상공인의 재난안전보건경영시스템 구축 지원,,
6,고용노동부,2023,2023,전략분야,항공우주산학융합원,유창경,328589162,인천광역시 연수구 갯벌로,"324,930,870","286,685,200",0,"38,245,670","교부신청액: 286,685,200","286,685,200",0,"286,685,200",0,항공 MRO산업(항공기 재생·수리·개조 산업) 기업과 협약을 체결하여 전문 인력 양성,국가인적자원개발컨소시엄 전략분야 훈련 사업,2023.01.01. ~ 2023.12.31.,전국,협약기업 81개사 내외 재직근로자,항공우주산학융합원 협약기업 재직근로자/대규모기업 20% 자부담,수익금액 발생 시 국고로 반납,"2021.2.28기준(자산 : 6,829,268,587원 / 부채 : 921,854,976원 )","재직자 전문인력 양성을 통해 해외기업의 MRO 수주를 통한 국부유출을 방지하고, 항공MRO산업 육성 기반 마련","- 사업목적 : 재직자 역량을 강화 및 항공MRO산업 분야 사다리형 통합 교육 체계를 구축
- 사업운영: 산업현장 수요를 반영한 훈련과정 설계
- 사업결과: 훈련실적(연인원 500여명) 달성 및 만족도 점수 향상",산업현장 수요를 반영한 훈련계획 수립
7,고용노동부,2023,2023,대중소상생,우진플라임,김익환,435409112,충청북도 보은군 장안면 우진플라임로,"505,910,224","434,017,500",0,"71,892,724","교부신청액: 434,017,500","434,017,500",0,"434,017,500",0,#NAME?,#NAME?,2023.01.01. ~ 2023.12.31.,해당사항없음,"협약기업 710개소 재직근로자 43,585명","- 정부지원금(인건비, 훈련시설/장비비)에 대한 자비 부담 20%",#NAME?,"- 2022.11.11 기준 자산 301,374,447,420원 / 부채 200,743,735,871원",#NAME?,"- 사업투입 : 협약기업 관리 및 전담인력 역할 체계 구축
- 사업운영 : 수요조사 연계를 통한 과정 설계 반영
- 사업결과 : 훈련실적 (연인원 500명) 달성 및 만족도 점수 향상",
8,고용노동부,2023,2023,일학습병행_통합,한국폴리텍5대학산학협력단,신현성,625197227,광주광역시 북구 하서로,"419,210,000","419,210,000",0,0,"교부신청액: 419,210,000","419,210,000",0,"419,210,000",0,산업현장의 실무형 인재 양성,통합 일학습병행 공동훈련센터,2023.01.01. ~ 2023.12.31.,전국,130명,해당사항 없음,회계정산 시 반납,"부채: 341,870,992원 / 자산: 1,148,263,300원(2022.12.31.기준)",기업맞춤형 인재양성,"학습기업 수 35개, 학습근로자 수 130명",
9,고용노동부,2023,2023,사회적경제기업 사업개발비,주식회사 케이쌤,박주희,549159920,대구광역시 군위군 군위읍 중앙3길,"16,667,000","10,500,000","4,500,000","1,667,000","교부신청액: 15,000,000","10,500,000","4,500,000","15,000,000",0,"* 마케팅 강화와 홈페이지 개편을 통한 지속가능한 사업 토대 마련

1. 마케팅/홍보/광고

○ 브랜드 인지도 제고에 집중 투자 필요
- ‘한국어 교육 전문업체’로 브랜드 집중 홍보 -> 신생업체의 한계 극복
- 일회성 광고 보다 매월 꾸준한 광고비 집행으로 점차적인 학습자 증가 유도

○ 자체 채널 성장 필요
- 매월 신규 학습자 유입이 필요하므로 일상적인 SNS 마케팅 필요
- 마케팅비용을 고려할 때 장기적으로 자체 SNS 채널 성장이 필수

2. 홈페이지 개편
-SNS 마케팅으로 홈페이지에 유입되는 학습자를 수강등록까지 견인
-> SNS 마케팅 효과 극대화 및 지속적인 사업 기반 마련
-SNS 마케팅 전개 전 외국어 지원, 수강신청 기능 개선이 필요","○ 마케팅/홍보/광고

1. 마케팅 대상 다변화
- 현재 베트남에 국한돼 있는 마케팅 대상을 태국/중국/영어권 국가로 확대
- 마케팅 대상 다변화로 학습자 확보 용이
- 각 국가별 인플루언서 활용 마케팅으로 단기간 고효율 마케팅 전개 예정

2. 자체 채널 성장 투자
- 장기적으로 외부 채널 이용에 따른 부담을 줄이기 위한 자체 채널 성장 투자 필요
- 자체 홈페이지, 페이스북, 유튜브, 틱톡 채널 운영 전략 수립
- 자체 채널들 디자인 통일, 유기적인 활용 방안 마련

○ 홈페이지 제작
- 현재 홈페이지를 기본으로 대대적인 개편 예정
- 마케팅 대상 다변화에 따른 각국 언어 지원 필요
- 홈페이지 접속 후 원클릭 상담을 위한 각 국가별 SNS 메신저 연동 (예: 중국 WeChat, 태국 Facebook Messenger 등)
- 레벨테스트, 수강신청 기능 편리성 보강
- 자체 채널과 통일성 있는 디자인으로 개편",2023.04.01. ~ 2023.12.31.,해당사항없음,,사업 총예산의 10% 자부담,예비사회적기업 회계처리 원칙에 따라 작성된 주식회사 케이쌤 정관 32조 (이익금의 처분)에 근거해 처리,"자산총계: 20,458,092원 부채총계: 23,117,748원 2022년 12월31일 현재","○ 매출 증가
- 현재 베트남으로 국한되어 있는 마케팅 대상 국가를 태국/중국으로 확대함으로써 학습자 모집 채널 다양화로 매출 증가 기대
-2023년 4월~7월 매월 학습자 평균 20명씩 증가 목표
-언어 교육의 특성상 학습자 누적효과로 꾸준한 매출 증가 기대

○ 브랜드 인지도 상승
-꾸준한 SNS 마케팅으로 한국어 학습자들 사이에서 케이쌤 브랜드 인지도 상승 기대
-2022년 9월~12월 베트남 인플루언서 마케팅 결과, 총 17개 콘텐츠 노출에 조회수 535,276회, 좋아요 48,189회 기록
-4월~7월까지 SNS 마케팅으로 케이쌤 콘텐츠 소비자 중 1만명 팔로워 확보, 1%인 100명 수강생 유치 목표

○ 지역 내 인지도 상승
-지역 결혼이민자 고용과 결혼이민자 공동체 지원으로 지역 내 인지도 상승 효과 기대
-향후 지자체 교육서비스 사업 수행 기반 확보",,
10,고용노동부,2023,2023,전략분야,한국탄소산업진흥원_재단법인,방윤혁,,전북특별자치도 전주시 덕진구 반룡로,"612,262,158","612,262,158",0,0,"교부신청액: 612,262,158","612,262,158",0,"612,262,158",0,특정 산업이나 직종과 관련된 기업과 협약을 체결하여 직업능력개발 지원,"국가인적자원개발컨소시엄 전략분야 훈련사업
탄소복합소재 기업 재직자 직무향상교육, 채용예정자 교육, 장비사용 및 분석지원 등",2023.01.01. ~ 2023.12.31.,전국,636명,대응투자 면제기관으로 부담금 해당사항 없음,대규모 자부담금 발생시 정산 후 반납예정,"자산 31,960,128,640원 / 부채 12,719,816,950원 / 자본 19,240,311,690 [2021년 결산기준]","-[운영기관:KCARBON]
①진흥원 설립목적에 부합되는 관련 기업의 지원 효과
②주요 중점사업(탄소밸리구축사업, WPM, 광역연계 등)을 통한 산업화 확산 → 국가 신 성장 동력 산업인 탄소기반 첨단?극한소재 부품 분야 글로벌 산업 연구의 거점기관 및 탄소 부품소재 산업 Hub 구축

- [협약기업:탄소·복합소재 기업] 탄소소재 핵심 기술 인재 및 복합재 핵심 기술 인재 확보 → 기업 기술 경쟁력 강화, Global std. 기술 선도형 기업으로 성장",,
